2019-04-12 16:24:22.914 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:24:23.132 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:24:23.134 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:24:24.405 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:24:24.820 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:24:24.883 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2beee7ff, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5136d012, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5939a379, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e1de817, org.springframework.test.context.support.DirtiesContextTestExecutionListener@52102734, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3541cb24, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2177849e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@40cb8df7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13b13b5d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2892dae4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@355ce81c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@29647f75]
2019-04-12 16:26:26.294 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:26:26.308 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:26:26.309 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:26:26.755 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:26:27.130 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:26:27.207 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2beee7ff, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5136d012, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5939a379, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e1de817, org.springframework.test.context.support.DirtiesContextTestExecutionListener@52102734, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3541cb24, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2177849e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@40cb8df7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13b13b5d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2892dae4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@355ce81c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@29647f75]
2019-04-12 16:27:20.187 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:27:20.241 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:27:20.247 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:27:22.364 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:27:23.279 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:27:23.394 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@72e36d0f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5031786b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@40830e1e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4f578fc2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@26350832, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7d1cdebf, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@25b7ccfc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@56ed6e17, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@58179860, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@43e55cfb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@582ea857, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@650ee893]
2019-04-12 16:31:24.667 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:31:24.822 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:31:24.853 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:31:26.506 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:31:27.335 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:31:27.449 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ae06c93, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3a5812dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3ddec942, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@495c3d15, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10014459, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6ab56a77, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@216a3aba, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9760f17, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13cfa1ec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@52688730, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2227c82d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1b9075c9]
2019-04-12 16:34:33.563 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:34:33.603 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:34:33.606 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:34:35.561 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:34:36.247 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
