2019-05-31 20:31:01.542 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest], using SpringBootContextLoader
2019-05-31 20:31:01.596 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-05-31 20:31:01.598 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest]: SysUserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-05-31 20:31:02.134 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.controller.SysUserControllerTest
2019-05-31 20:31:02.273 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-31 20:31:02.295 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4686afc2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e0b4072, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@791f145a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@38cee291, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b45a2f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@f09733f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@e350b40, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@41a0aa7d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2794eab6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6340e5f0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@45099dd3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@13e344d]
2019-05-31 20:31:53.549 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.SpringSecurityApplicationTests], using SpringBootContextLoader
2019-05-31 20:31:53.573 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.SpringSecurityApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-05-31 20:31:53.575 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.SpringSecurityApplicationTests]: SpringSecurityApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-05-31 21:25:43.112 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest], using SpringBootContextLoader
2019-05-31 21:25:43.204 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
